"-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-"
TRB,"降序",HP,"-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-"
TRB,"降序","-All-",M,"-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-"
TRB,"降序","-All-","-All-","[70 + )","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-"
TRB,"降序","-All-","-All-","-All-",CN,"-All-","-All-","-All-","-All-","-All-","-All-","-All-"
TRB,"降序","-All-","-All-","-All-","-All-",JAN,"-All-","-All-","-All-","-All-","-All-","-All-"
TRB,"降序","-All-","-All-","-All-","-All-","-All-","一般职员","-All-","-All-","-All-","-All-","-All-"
TRB,"降序","-All-","-All-","-All-","-All-","-All-","-All-",1,"-All-","-All-","-All-","-All-"
TRB,"降序","-All-","-All-","-All-","-All-","-All-","-All-","-All-",(0 - 50),"-All-","-All-","-All-"
TRB,"升序","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","Albert Kang","-All-","-All-"
TRB,"升序","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-",Y,"-All-"
TRB,"升序","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","Activity"
TRB,"降序","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-","-All-"
TRB,"降序",Jade,M,"(0 - 20)",BR,JAN,"一般职员",1,"(0 - 50)","Abby Chen","-All-","-All-"
TRB,"降序",HP,M,"[20 - 30)",CA,FEB,"专业人士／高级行政人员",1,"(0 - 50)","Albert Kang","-All-",""
